Date,Time,Open,High,Low,Close,Volume,
2015.05.12,0:00,1.11519,1.1279,1.11345,1.12214,151838,
2015.05.13,0:00,1.12213,1.13828,1.12026,1.13508,155405,
2015.05.14,0:00,1.13504,1.14448,1.13406,1.14073,163401,
2015.05.15,0:00,1.14075,1.1467,1.13239,1.14441,156746,
2015.05.18,0:00,1.14427,1.14469,1.12987,1.13148,139968,
2015.05.19,0:00,1.13149,1.13264,1.11188,1.11455,164463,
2015.05.20,0:00,1.11454,1.11522,1.10626,1.10918,178098,
2015.05.21,0:00,1.10917,1.11814,1.108,1.11075,162689,
2015.05.22,0:00,1.11075,1.12085,1.10021,1.10183,151607,
2015.05.25,0:00,1.0979,1.10098,1.09591,1.09801,74120,
2015.05.26,0:00,1.09803,1.09808,1.08633,1.0873,179531,
2015.05.27,0:00,1.08727,1.09292,1.08191,1.09004,166527,
2015.05.28,0:00,1.09004,1.09729,1.08673,1.0958,186717,
2015.05.29,0:00,1.09577,1.10065,1.09258,1.0985,162940,
2015.06.01,0:00,1.09806,1.09849,1.08873,1.09215,162096,
2015.06.02,0:00,1.09215,1.11941,1.09161,1.11513,187733,
2015.06.03,0:00,1.11512,1.12852,1.10795,1.12683,181734,
2015.06.04,0:00,1.12683,1.13799,1.12213,1.12236,178412,
2015.06.05,0:00,1.12237,1.12802,1.10493,1.11125,176900,
2015.06.08,0:00,1.10988,1.1307,1.10841,1.12798,156412,
2015.06.09,0:00,1.12797,1.13457,1.12141,1.12758,175586,
2015.06.10,0:00,1.12762,1.13866,1.12599,1.1321,200982,
2015.06.11,0:00,1.13212,1.13312,1.11824,1.12397,161531,
2015.06.12,0:00,1.12398,1.12965,1.11512,1.1262,167018,
2015.06.15,0:00,1.12182,1.12945,1.11893,1.12807,152611,
2015.06.16,0:00,1.12804,1.13299,1.1205,1.12453,138125,
2015.06.17,0:00,1.12453,1.13579,1.12066,1.13402,160868,
2015.06.18,0:00,1.13402,1.14366,1.13304,1.13688,169873,
2015.06.19,0:00,1.13687,1.13967,1.1292,1.13516,127864,
2015.06.22,0:00,1.13678,1.14105,1.13117,1.13403,135038,
2015.06.23,0:00,1.13404,1.13475,1.1135,1.11667,160596,
2015.06.24,0:00,1.11666,1.12347,1.11597,1.12036,152108,
2015.06.25,0:00,1.1203,1.12279,1.11537,1.12009,129351,
2015.06.26,0:00,1.12008,1.12199,1.113,1.11616,121989,
2015.06.29,0:00,1.09865,1.12779,1.0954,1.12298,210549,
2015.06.30,0:00,1.12298,1.12445,1.11124,1.11432,176723,
